material_code,material_description,supplier_name,supplier_id,emission_factor_name,ef_kgco2e_per_unit,units_per_kg,weight_per_unit_kg
MAT-20110,HDPE Bottle 250ml,NovaChem Labs,SUP-10028,HDPE Bottle 250ml EF - NovaChem Labs,633.0966,1.7404,
MAT-20110,HDPE Bottle 250ml,NovaChem Labs,SUP-10028,HDPE Bottle 250ml EF - NovaChem Labs,505.1759,2.9994,3.8873
MAT-20006,Ethanol (Pharma Grade),Sterling Industries,SUP-10038,Ethanol (Pharma Grade) EF - Sterling Industries,141.0104,2.8469,4.1933
MAT-20006,Ethanol (Pharma Grade),Sterling Industries,SUP-10038,Ethanol (Pharma Grade) EF - Sterling Industries,800.6839,0.8723,0.3297
MAT-20070,Film Coating Powder,Clarion Packaging Ltd,SUP-10015,Film Coating Powder EF - Clarion Packaging Ltd,629.5596,0.5802,2.0209
MAT-20024,Cold Chain Transport - 2-8C,Atlas Polymer Group,SUP-10027,Cold Chain Transport - 2-8C EF - Atlas Polymer Group,279.6101,1.9733,3.9776
MAT-20022,Inbound Air Freight - Temperature Controlled,PharmaPak Glass Works,SUP-10003,Inbound Air Freight - Temperature Controlled EF - PharmaPak Glass Works,529.704,0.8108,
MAT-20022,Inbound Air Freight - Temperature Controlled,PharmaPak Glass Works,SUP-10003,Inbound Air Freight - Temperature Controlled EF - PharmaPak Glass Works,17.7811,1.9639,4.708
MAT-20004,Enteric Coating Blend,Bluepeak Glass Works,SUP-10004,Enteric Coating Blend EF - Bluepeak Glass Works,516.7946,2.1693,1.5902
MAT-20113,Pressure-sensitive Label,Ridgeline Glass Works,SUP-10011,Pressure-sensitive Label EF - Ridgeline Glass Works,230.044,0.5947,3.2365
MAT-20005,Methylparaben,Sterling Industries,SUP-10038,Methylparaben EF - Sterling Industries,836.342,2.0153,3.198
MAT-20005,Methylparaben,Sterling Industries,SUP-10038,Methylparaben EF - Sterling Industries,583.2594,,3.4289
MAT-20130,Comparator Drug Batch,Bluepeak Group,SUP-10026,Comparator Drug Batch EF - Bluepeak Group,542.728,0.7551,4.7777
MAT-20130,Comparator Drug Batch,Bluepeak Group,SUP-10026,Comparator Drug Batch EF - Bluepeak Group,133.681,2.8814,2.8594
MAT-20097,Comparator Drug Batch,Clarion Packaging Ltd,SUP-10015,Comparator Drug Batch EF - Clarion Packaging Ltd,747.8417,1.5922,
MAT-20117,Custom Synthesis Batch,Everline Glass Works,SUP-10032,Custom Synthesis Batch EF - Everline Glass Works,524.6193,2.9892,0.0832
MAT-20131,Clinical Trial Kit,BrightLab Vial Co.,SUP-10016,Clinical Trial Kit EF - BrightLab Vial Co.,795.0942,2.8894,
MAT-20077,HDPE Bottle 100ml,Quantum Vial Co.,SUP-10013,HDPE Bottle 100ml EF - Quantum Vial Co.,45.9776,2.7602,0.5374
MAT-20077,HDPE Bottle 100ml,Quantum Vial Co.,SUP-10013,HDPE Bottle 100ml EF - Quantum Vial Co.,369.7267,2.1519,3.1578
MAT-20103,Enteric Coating Blend,BrightLab Vial Co.,SUP-10016,Enteric Coating Blend EF - BrightLab Vial Co.,764.6725,1.8644,0.4276
MAT-20087,Inbound Road Freight - Pallet,Atlas Fine Chemicals,SUP-10023,Inbound Road Freight - Pallet EF - Atlas Fine Chemicals,810.7591,0.7088,0.1218
MAT-20087,Inbound Road Freight - Pallet,Atlas Fine Chemicals,SUP-10023,Inbound Road Freight - Pallet EF - Atlas Fine Chemicals,752.6686,1.9691,
MAT-20059,Stainless Steel Reactor Component,Everline Glass Works,SUP-10032,Stainless Steel Reactor Component EF - Everline Glass Works,733.8054,2.9263,4.4719
MAT-20066,Ibuprofen API,Ridgeline Labs,SUP-10019,Ibuprofen API EF - Ridgeline Labs,144.7286,,4.4184
MAT-20064,Comparator Drug Batch,Meridian Labs,SUP-10033,Comparator Drug Batch EF - Meridian Labs,514.0218,1.7671,0.0676
MAT-20102,Lactose Monohydrate,Ridgeline Glass Works,SUP-10011,Lactose Monohydrate EF - Ridgeline Glass Works,730.7021,,
MAT-20072,Ethanol (Pharma Grade),Cascade Materials Ltd,SUP-10030,Ethanol (Pharma Grade) EF - Cascade Materials Ltd,426.0004,,4.2122
MAT-20056,Inbound Ocean Freight - Container,Clarion Industries,SUP-10024,Inbound Ocean Freight - Container EF - Clarion Industries,269.6701,2.4115,4.6714
MAT-20147,Reusable Shipping Tote,Everline Glass Works,SUP-10032,Reusable Shipping Tote EF - Everline Glass Works,606.939,2.4787,2.1231
MAT-20147,Reusable Shipping Tote,Everline Glass Works,SUP-10032,Reusable Shipping Tote EF - Everline Glass Works,813.4401,,1.9666
MAT-20105,Isopropyl Alcohol,Cascade Materials Ltd,SUP-10030,Isopropyl Alcohol EF - Cascade Materials Ltd,240.4943,1.0733,
MAT-20026,Stainless Steel Reactor Component,Amberline Logistics,SUP-10005,Stainless Steel Reactor Component EF - Amberline Logistics,101.3324,1.7359,1.2481
MAT-20026,Stainless Steel Reactor Component,Amberline Logistics,SUP-10005,Stainless Steel Reactor Component EF - Amberline Logistics,438.8074,2.5212,1.1284
MAT-20088,Inbound Air Freight - Temperature Controlled,Clarion Industries,SUP-10024,Inbound Air Freight - Temperature Controlled EF - Clarion Industries,96.3973,1.9526,3.2966
MAT-20094,HPLC Consumable Kit,Trueform Polymer Group,SUP-10025,HPLC Consumable Kit EF - Trueform Polymer Group,263.6356,,2.1139
MAT-20120,Inbound Road Freight - Pallet,Solara International,SUP-10018,Inbound Road Freight - Pallet EF - Solara International,345.4192,,
MAT-20120,Inbound Road Freight - Pallet,Solara International,SUP-10018,Inbound Road Freight - Pallet EF - Solara International,550.6624,,1.5688
MAT-20090,Cold Chain Transport - 2-8C,Bluepeak Glass Works,SUP-10004,Cold Chain Transport - 2-8C EF - Bluepeak Glass Works,10.5526,0.7555,
MAT-20090,Cold Chain Transport - 2-8C,Bluepeak Glass Works,SUP-10004,Cold Chain Transport - 2-8C EF - Bluepeak Glass Works,883.1055,2.4001,2.0391
MAT-20149,Fermentation Batch Service,Cascade Packaging Ltd,SUP-10034,Fermentation Batch Service EF - Cascade Packaging Ltd,0.4089,2.9004,1.3369
MAT-20085,Aseptic Fill & Finish Service,Trueform Polymer Group,SUP-10025,Aseptic Fill & Finish Service EF - Trueform Polymer Group,552.7108,0.8436,
MAT-20065,Clinical Trial Kit,Cascade Materials Ltd,SUP-10030,Clinical Trial Kit EF - Cascade Materials Ltd,891.5366,1.6129,2.1303
MAT-20045,Corrugated Shipping Box,NovaChem Industries,SUP-10039,Corrugated Shipping Box EF - NovaChem Industries,80.3547,,0.5736
MAT-20023,Inbound Ocean Freight - Container,Clarion Packaging Ltd,SUP-10015,Inbound Ocean Freight - Container EF - Clarion Packaging Ltd,595.0969,2.1002,
MAT-20030,Single-use Bioreactor Bag,Quantum Vial Co.,SUP-10013,Single-use Bioreactor Bag EF - Quantum Vial Co.,97.2536,,4.4733
MAT-20030,Single-use Bioreactor Bag,Quantum Vial Co.,SUP-10013,Single-use Bioreactor Bag EF - Quantum Vial Co.,307.6219,0.6095,
MAT-20081,Corrugated Shipping Case,Quantum Excipients Ltd,SUP-10035,Corrugated Shipping Case EF - Quantum Excipients Ltd,360.6074,2.2508,1.808
MAT-20068,Synthetic Peptide Concentrate,Solara Manufacturing Co.,SUP-10017,Synthetic Peptide Concentrate EF - Solara Manufacturing Co.,446.0832,,2.1503
MAT-20123,Cold Chain Transport - 2-8C,Ridgeline International,SUP-10002,Cold Chain Transport - 2-8C EF - Ridgeline International,627.3434,,2.0878
MAT-20128,Lab Reagent Kit,Bluepeak Glass Works,SUP-10004,Lab Reagent Kit EF - Bluepeak Glass Works,680.0694,2.7789,3.8643
MAT-20128,Lab Reagent Kit,Bluepeak Glass Works,SUP-10004,Lab Reagent Kit EF - Bluepeak Glass Works,114.1869,,3.7675
MAT-20148,Stretch Pallet Wrap,Ridgeline International,SUP-10002,Stretch Pallet Wrap EF - Ridgeline International,779.6822,1.8779,
MAT-20138,Isopropyl Alcohol,Amberline Logistics,SUP-10005,Isopropyl Alcohol EF - Amberline Logistics,243.856,2.9882,4.2003
MAT-20138,Isopropyl Alcohol,Amberline Logistics,SUP-10005,Isopropyl Alcohol EF - Amberline Logistics,560.3305,2.0665,2.7341
MAT-20002,Synthetic Peptide Concentrate,NovaChem Industries,SUP-10039,Synthetic Peptide Concentrate EF - NovaChem Industries,629.0228,2.2412,1.565
MAT-20133,Monoclonal Antibody Bulk,Everline Glass Works,SUP-10032,Monoclonal Antibody Bulk EF - Everline Glass Works,510.5425,2.6668,2.9459
MAT-20133,Monoclonal Antibody Bulk,Everline Glass Works,SUP-10032,Monoclonal Antibody Bulk EF - Everline Glass Works,881.0087,0.6233,
MAT-20129,Pipette Tips (case),Ferrolux Manufacturing Co.,SUP-10008,Pipette Tips (case) EF - Ferrolux Manufacturing Co.,52.8234,1.6944,3.488
MAT-20086,Contract Packaging Service,Clarion Industries,SUP-10024,Contract Packaging Service EF - Clarion Industries,316.1998,,
MAT-20049,Stretch Pallet Wrap,PharmaPak Glass Works,SUP-10003,Stretch Pallet Wrap EF - PharmaPak Glass Works,749.2884,2.4282,1.0436
MAT-20010,Prefilled Syringe 1ml,Vantis Packaging Ltd,SUP-10020,Prefilled Syringe 1ml EF - Vantis Packaging Ltd,369.7696,0.8144,1.3069
MAT-20073,Water for Injection,Atlas Fine Chemicals,SUP-10023,Water for Injection EF - Atlas Fine Chemicals,341.1467,,
MAT-20144,Folding Carton,PharmaPak Labs,SUP-10036,Folding Carton EF - PharmaPak Labs,726.3135,,1.2586
MAT-20143,HDPE Bottle 250ml,PharmaPak Glass Works,SUP-10003,HDPE Bottle 250ml EF - PharmaPak Glass Works,828.4656,2.206,
MAT-20058,Cold Storage - Warehouse Pallet Slot,Quantum Excipients Ltd,SUP-10035,Cold Storage - Warehouse Pallet Slot EF - Quantum Excipients Ltd,388.2629,1.3172,0.8175
MAT-20058,Cold Storage - Warehouse Pallet Slot,Quantum Excipients Ltd,SUP-10035,Cold Storage - Warehouse Pallet Slot EF - Quantum Excipients Ltd,738.1902,1.2869,2.4552
MAT-20008,Glass Vial 2ml,NovaChem Labs,SUP-10028,Glass Vial 2ml EF - NovaChem Labs,483.8124,,4.7654
MAT-20098,Clinical Trial Kit,Vantis Packaging Ltd,SUP-10020,Clinical Trial Kit EF - Vantis Packaging Ltd,173.1395,2.0215,1.2202
MAT-20020,Contract Packaging Service,Atlas Fine Chemicals,SUP-10023,Contract Packaging Service EF - Atlas Fine Chemicals,719.0571,2.4582,0.9298
MAT-20096,Pipette Tips (case),Bluepeak Group,SUP-10026,Pipette Tips (case) EF - Bluepeak Group,630.5685,,1.6767
MAT-20011,HDPE Bottle 100ml,Sterling Industries,SUP-10038,HDPE Bottle 100ml EF - Sterling Industries,206.089,,3.3796
MAT-20079,Patient Information Leaflet,Vantis Industries,SUP-10010,Patient Information Leaflet EF - Vantis Industries,106.661,,
MAT-20019,Aseptic Fill & Finish Service,NovaChem Labs,SUP-10028,Aseptic Fill & Finish Service EF - NovaChem Labs,867.9041,2.1416,0.6803
MAT-20019,Aseptic Fill & Finish Service,NovaChem Labs,SUP-10028,Aseptic Fill & Finish Service EF - NovaChem Labs,284.4731,,
MAT-20100,Recombinant Protein Concentrate,Amberline Logistics,SUP-10005,Recombinant Protein Concentrate EF - Amberline Logistics,252.9095,0.7308,4.2604
MAT-20036,Microcrystalline Cellulose,BrightLab Vial Co.,SUP-10016,Microcrystalline Cellulose EF - BrightLab Vial Co.,894.0368,,2.6889
MAT-20036,Microcrystalline Cellulose,BrightLab Vial Co.,SUP-10016,Microcrystalline Cellulose EF - BrightLab Vial Co.,97.6022,2.9549,2.4777
MAT-20074,Glass Vial 2ml,Quantum Excipients Ltd,SUP-10035,Glass Vial 2ml EF - Quantum Excipients Ltd,176.3758,,4.4136
