supplier_name,emission_factor_name,parent_supplier_mapping_initial,supplier_number,ef_per_1000_gbp
Atlas Fine Chemicals,Spend EF Atlas Fine Chemicals v4,Meridian Industries plc,SUP-10023,0.5137
Atlas Fine Chemicals,Spend EF Atlas Fine Chemicals v5,Meridian Industries plc,SUP-10023,0.5234
Atlas Fine Chemicals,Spend EF Atlas Fine Chemicals v6,Meridian Industries plc,SUP-10023,0.5331
Atlas Fine Chemicals,Spend EF Atlas Fine Chemicals v7,Meridian Industries plc,SUP-10023,0.5428
,Spend EF Clarion Industries v1,Everline Group,SUP-10024,0.7565
Clarion Industries,Spend EF Clarion Industries v2,Everline Group,SUP-10024,0.7716
Clarion Industries,Spend EF Clarion Industries v3,Everline Group,SUP-10024,0.7868
Clarion Industries,Spend EF Clarion Industries v4,,SUP-10024,0.8019
Clarion Industries,Spend EF Clarion Industries v5,,SUP-10024,0.817
Trueform Polymer Group,Spend EF Trueform Polymer Group v1,BrightLab Corp,SUP-10025,1.1348
Trueform Polymer Group,Spend EF Trueform Polymer Group v2,BrightLab Corp,SUP-10025,1.1575
Trueform Polymer Group,Spend EF Trueform Polymer Group v3,BrightLab Corp,SUP-10025,1.1802
Trueform Polymer Group,Spend EF Trueform Polymer Group v4,BrightLab Corp,SUP-10025,1.2029
Bluepeak Group,Spend EF Bluepeak Group v1,Cascade Polymer Group,SUP-10026,0.4872
,Spend EF Bluepeak Group v2,Cascade Polymer Group,SUP-10026,0.4969
Bluepeak Group,Spend EF Bluepeak Group v3,Cascade Polymer Group,SUP-10026,0.5067
,Spend EF Bluepeak Group v4,,SUP-10026,0.5164
Bluepeak Group,Spend EF Bluepeak Group v5,Cascade Polymer Group,SUP-10026,0.5262
Atlas Polymer Group,Spend EF Atlas Polymer Group v1,Everline Group,SUP-10027,0.4115
Atlas Polymer Group,Spend EF Atlas Polymer Group v2,Everline Group,SUP-10027,0.4197
,Spend EF Atlas Polymer Group v3,Everline Group,SUP-10027,0.428
,Spend EF NovaChem Labs v1,Cascade Polymer Group,SUP-10028,0.7424
NovaChem Labs,Spend EF NovaChem Labs v2,Cascade Polymer Group,SUP-10028,0.7572
NovaChem Labs,Spend EF NovaChem Labs v3,Cascade Polymer Group,SUP-10028,0.7721
Trueform Industries,Spend EF Trueform Industries v1,Cascade Polymer Group,SUP-10029,0.7311
,Spend EF Trueform Industries v2,Cascade Polymer Group,SUP-10029,0.7457
Trueform Industries,Spend EF Trueform Industries v3,Cascade Polymer Group,SUP-10029,0.7603
Trueform Industries,Spend EF Trueform Industries v4,Cascade Polymer Group,SUP-10029,0.775
Cascade Materials Ltd,Spend EF Cascade Materials Ltd v1,Meridian Industries plc,SUP-10030,1.0639
Cascade Materials Ltd,Spend EF Cascade Materials Ltd v2,,SUP-10030,1.0852
Cascade Materials Ltd,Spend EF Cascade Materials Ltd v3,Meridian Industries plc,SUP-10030,1.1065
Cascade Materials Ltd,Spend EF Cascade Materials Ltd v4,Meridian Industries plc,SUP-10030,1.1277
,Spend EF Cascade Materials Ltd v5,Meridian Industries plc,SUP-10030,1.149
Clarion Materials Ltd,Spend EF Clarion Materials Ltd v1,,SUP-10031,0.6317
Clarion Materials Ltd,Spend EF Clarion Materials Ltd v2,Sterling Industries,SUP-10031,0.6443
Clarion Materials Ltd,Spend EF Clarion Materials Ltd v3,Sterling Industries,SUP-10031,0.657
,Spend EF Everline Glass Works v1,NovaChem Holdings,SUP-10032,0.0708
Everline Glass Works,Spend EF Everline Glass Works v2,NovaChem Holdings,SUP-10032,0.0722
Everline Glass Works,Spend EF Everline Glass Works v3,NovaChem Holdings,SUP-10032,0.0736
Meridian Labs,Spend EF Meridian Labs v1,Sterling Industries,SUP-10033,0.5783
Meridian Labs,Spend EF Meridian Labs v2,Sterling Industries,SUP-10033,0.5899
Meridian Labs,Spend EF Meridian Labs v3,Sterling Industries,SUP-10033,0.6014
Meridian Labs,Spend EF Meridian Labs v4,Sterling Industries,SUP-10033,0.613
,Spend EF Cascade Packaging Ltd v1,,SUP-10034,1.0683
Cascade Packaging Ltd,Spend EF Cascade Packaging Ltd v2,Sterling Industries,SUP-10034,1.0897
Cascade Packaging Ltd,Spend EF Cascade Packaging Ltd v3,Sterling Industries,SUP-10034,1.111
Cascade Packaging Ltd,Spend EF Cascade Packaging Ltd v4,Sterling Industries,SUP-10034,1.1324
Cascade Packaging Ltd,Spend EF Cascade Packaging Ltd v5,,SUP-10034,1.1538
Quantum Excipients Ltd,Spend EF Quantum Excipients Ltd v1,Pinnacle Chemicals plc,SUP-10035,0.5326
Quantum Excipients Ltd,Spend EF Quantum Excipients Ltd v2,Pinnacle Chemicals plc,SUP-10035,0.5433
,Spend EF Quantum Excipients Ltd v3,,SUP-10035,0.5539
Quantum Excipients Ltd,Spend EF Quantum Excipients Ltd v4,Pinnacle Chemicals plc,SUP-10035,0.5646
Quantum Excipients Ltd,Spend EF Quantum Excipients Ltd v5,Pinnacle Chemicals plc,SUP-10035,0.5752
,Spend EF Quantum Excipients Ltd v6,,SUP-10035,0.5859
PharmaPak Labs,Spend EF PharmaPak Labs v1,Cascade Polymer Group,SUP-10036,0.4776
PharmaPak Labs,Spend EF PharmaPak Labs v2,,SUP-10036,0.4872
PharmaPak Labs,Spend EF PharmaPak Labs v3,,SUP-10036,0.4967
Amberline Excipients Ltd,Spend EF Amberline Excipients Ltd v1,,SUP-10037,0.2638
Amberline Excipients Ltd,Spend EF Amberline Excipients Ltd v2,Sterling Industries,SUP-10037,0.2691
Amberline Excipients Ltd,Spend EF Amberline Excipients Ltd v3,Sterling Industries,SUP-10037,0.2744
Sterling Industries,Spend EF Sterling Industries v1,,SUP-10038,0.9939
,Spend EF Sterling Industries v2,Quantum Holdings,SUP-10038,1.0138
Sterling Industries,Spend EF Sterling Industries v3,,SUP-10038,1.0337
Sterling Industries,Spend EF Sterling Industries v4,Quantum Holdings,SUP-10038,1.0535
NovaChem Industries,Spend EF NovaChem Industries v1,NovaChem Holdings,SUP-10039,0.8558
NovaChem Industries,Spend EF NovaChem Industries v2,NovaChem Holdings,SUP-10039,0.8729
NovaChem Industries,Spend EF NovaChem Industries v3,NovaChem Holdings,SUP-10039,0.89
