enriched_l1l2l3_classification,emission_factor_name,eeio_factor_kgco2e_gbp,year
Logistics - Spend-Based (EEIO),Logistics - Spend-Based (EEIO) 2026 (Alt Method),0.317,2026
Raw Materials - Spend-Based (EEIO),Raw Materials - Spend-Based (EEIO) 2025 (Alt Method),0.2076,2025
Raw Materials - Spend-Based (EEIO),Raw Materials - Spend-Based (EEIO) 2024 (Alt Method),0.3192,2024
Raw Materials - Spend-Based (EEIO),Raw Materials - Spend-Based (EEIO) 2025 (Alt Method),0.4377,2025
Lab & Clinical Supplies - Spend-Based (EEIO),Lab & Clinical Supplies - Spend-Based (EEIO) 2026 (Alt Method),0.1592,2026
Raw Materials - Spend-Based (EEIO),Raw Materials - Spend-Based (EEIO) 2024 (Alt Method),0.2019,2024
Packaging Materials - Spend-Based (EEIO),Packaging Materials - Spend-Based (EEIO) 2026 (Alt Method),0.27,2026
Lab & Clinical Supplies - Spend-Based (EEIO),Lab & Clinical Supplies - Spend-Based (EEIO) 2025 (Alt Method),0.1102,2025
Capital Equipment - Spend-Based (EEIO),Capital Equipment - Spend-Based (EEIO) 2026 (Alt Method),0.1812,2026
Contract Manufacturing - Spend-Based (EEIO),Contract Manufacturing - Spend-Based (EEIO) 2026 (Alt Method),0.1587,2026
Capital Equipment - Spend-Based (EEIO),Capital Equipment - Spend-Based (EEIO) 2026 (Alt Method),0.1574,2026
Capital Equipment - Spend-Based (EEIO),Capital Equipment - Spend-Based (EEIO) 2024 (Alt Method),0.1761,2024
Contract Manufacturing - Spend-Based (EEIO),Contract Manufacturing - Spend-Based (EEIO) 2026 (Alt Method),0.0514,2026
Lab & Clinical Supplies - Spend-Based (EEIO),Lab & Clinical Supplies - Spend-Based (EEIO) 2026 (Alt Method),0.0822,2026
Logistics - Spend-Based (EEIO),Logistics - Spend-Based (EEIO) 2026 (Alt Method),0.1028,2026
Capital Equipment - Spend-Based (EEIO),Capital Equipment - Spend-Based (EEIO) 2026 (Alt Method),0.1885,2026
Lab & Clinical Supplies - Spend-Based (EEIO),Lab & Clinical Supplies - Spend-Based (EEIO) 2025 (Alt Method),0.0984,2025
Raw Materials - Spend-Based (EEIO),Raw Materials - Spend-Based (EEIO) 2026 (Alt Method),0.3353,2026
Capital Equipment - Spend-Based (EEIO),Capital Equipment - Spend-Based (EEIO) 2026 (Alt Method),0.1662,2026
Logistics - Spend-Based (EEIO),Logistics - Spend-Based (EEIO) 2025 (Alt Method),0.2815,2025
Capital Equipment - Spend-Based (EEIO),Capital Equipment - Spend-Based (EEIO) 2026 (Alt Method),0.2477,2026
Contract Manufacturing - Spend-Based (EEIO),Contract Manufacturing - Spend-Based (EEIO) 2025 (Alt Method),0.146,2025
Lab & Clinical Supplies - Spend-Based (EEIO),Lab & Clinical Supplies - Spend-Based (EEIO) 2025 (Alt Method),0.2392,2025
Lab & Clinical Supplies - Spend-Based (EEIO),Lab & Clinical Supplies - Spend-Based (EEIO) 2026 (Alt Method),0.2107,2026
Logistics - Spend-Based (EEIO),Logistics - Spend-Based (EEIO) 2024 (Alt Method),0.2326,2024
Packaging Materials - Spend-Based (EEIO),Packaging Materials - Spend-Based (EEIO) 2024 (Alt Method),0.1679,2024
Packaging Materials - Spend-Based (EEIO),Packaging Materials - Spend-Based (EEIO) 2024 (Alt Method),0.218,2024
Raw Materials - Spend-Based (EEIO),Raw Materials - Spend-Based (EEIO) 2026 (Alt Method),0.3314,2026
Raw Materials - Spend-Based (EEIO),Raw Materials - Spend-Based (EEIO) 2026 (Alt Method),0.2464,2026
Capital Equipment - Spend-Based (EEIO),Capital Equipment - Spend-Based (EEIO) 2025 (Alt Method),0.1349,2025
Contract Manufacturing - Spend-Based (EEIO),Contract Manufacturing - Spend-Based (EEIO) 2026 (Alt Method),0.1379,2026
Capital Equipment - Spend-Based (EEIO),Capital Equipment - Spend-Based (EEIO) 2026 (Alt Method),0.2513,2026
Capital Equipment - Spend-Based (EEIO),Capital Equipment - Spend-Based (EEIO) 2025 (Alt Method),0.3125,2025
Contract Manufacturing - Spend-Based (EEIO),Contract Manufacturing - Spend-Based (EEIO) 2025 (Alt Method),0.2074,2025
Raw Materials - Spend-Based (EEIO),Raw Materials - Spend-Based (EEIO) 2024 (Alt Method),0.5203,2024
Raw Materials - Spend-Based (EEIO),Raw Materials - Spend-Based (EEIO) 2026 (Alt Method),0.5366,2026
Capital Equipment - Spend-Based (EEIO),Capital Equipment - Spend-Based (EEIO) 2025 (Alt Method),0.1709,2025
Contract Manufacturing - Spend-Based (EEIO),Contract Manufacturing - Spend-Based (EEIO) 2026 (Alt Method),0.241,2026
Packaging Materials - Spend-Based (EEIO),Packaging Materials - Spend-Based (EEIO) 2024 (Alt Method),0.2801,2024
Contract Manufacturing - Spend-Based (EEIO),Contract Manufacturing - Spend-Based (EEIO) 2024 (Alt Method),0.1966,2024
Lab & Clinical Supplies - Spend-Based (EEIO),Lab & Clinical Supplies - Spend-Based (EEIO) 2026 (Alt Method),0.2649,2026
Capital Equipment - Spend-Based (EEIO),Capital Equipment - Spend-Based (EEIO) 2026 (Alt Method),0.2049,2026
Packaging Materials - Spend-Based (EEIO),Packaging Materials - Spend-Based (EEIO) 2026 (Alt Method),0.1188,2026
Contract Manufacturing - Spend-Based (EEIO),Contract Manufacturing - Spend-Based (EEIO) 2025 (Alt Method),0.1807,2025
Raw Materials - Spend-Based (EEIO),Raw Materials - Spend-Based (EEIO) 2024 (Alt Method),0.4657,2024
Packaging Materials - Spend-Based (EEIO),Packaging Materials - Spend-Based (EEIO) 2024 (Alt Method),0.1665,2024
Lab & Clinical Supplies - Spend-Based (EEIO),Lab & Clinical Supplies - Spend-Based (EEIO) 2025 (Alt Method),0.1603,2025
Logistics - Spend-Based (EEIO),Logistics - Spend-Based (EEIO) 2026 (Alt Method),0.3256,2026
Raw Materials - Spend-Based (EEIO),Raw Materials - Spend-Based (EEIO) 2026 (Alt Method),0.503,2026
Contract Manufacturing - Spend-Based (EEIO),Contract Manufacturing - Spend-Based (EEIO) 2024 (Alt Method),0.2116,2024
Lab & Clinical Supplies - Spend-Based (EEIO),Lab & Clinical Supplies - Spend-Based (EEIO) 2024 (Alt Method),0.2861,2024
Packaging Materials - Spend-Based (EEIO),Packaging Materials - Spend-Based (EEIO) 2025 (Alt Method),0.1505,2025
Lab & Clinical Supplies - Spend-Based (EEIO),Lab & Clinical Supplies - Spend-Based (EEIO) 2026 (Alt Method),0.2546,2026
Logistics - Spend-Based (EEIO),Logistics - Spend-Based (EEIO) 2026 (Alt Method),0.3504,2026
Capital Equipment - Spend-Based (EEIO),Capital Equipment - Spend-Based (EEIO) 2024 (Alt Method),0.3701,2024
Packaging Materials - Spend-Based (EEIO),Packaging Materials - Spend-Based (EEIO) 2026 (Alt Method),0.1985,2026
